,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,ASIN,Product Title,Material Code,Sellable On Hand Units,Weeks On Hand,Sell-out last week,12 weeks sell-out,Forecast next week,26 weeks forecast,"PAN Havells WH stock in Hands 
(Total)","PAN Havells WH stock in Hands 
(Trade)","PAN Havells WH stock in Hands 
(Non trade)",Plant / CWH,"Delhi - Havells WH stock in Hands 
(Total)","Mumbai - Havells WH stock in Hands 
(Total)","Bangalore - Havells WH stock in Hands 
(Total)","Hyd- Havells WH stock in Hands 
(Total)","Chennai - Havells WH stock in Hands 
(Total)","Calcutta - Havells WH stock in Hands 
(Total)",Open Purchase Order Quantity,Pending PO Qty,Production Plan,Production MTD,Rep OOS,Replenishment Action,Unsellable On Hand Units,Aged 90+ Days Sellable Units,Unhealthy Units,Replenishment Category
Source,AMZ - Inv report,AMZ - Inv report,Havells SAP,AMZ - Inv report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,OUTPUT,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report
,B07HG69797,Havells Mozel 1200mm Ceiling Fan (Brown),FHCMZSTBRN48E,100,22,5,,5.407,,733,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,72,32,
,B00K0C4BP8,"Havells ORO High Speed Fan Regulator - 2M for Home, Office, Hospital & Hotels",AHORFHW005,99,46,2,,3.673,,965,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,96,69,
,B078V7117Q,"Havells Celia I Desert Air Cooler - 55 Litres (White, Brown)",GHRACAXK220,97,7,1,,1.53,,6045,,,,,,,,,,47,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B073S65MLG,Havells Artemis 1200mm Fan (Brown),FHCRMSTBRN48,96,14,14,,8.501,,1034,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,0,18,
,B00NLBJGD2,Havells Lifeline Cable WHFFDNRA11X0 1 sq mm Wire (Red),WHFFDNRA11X0,95,8,24,,13.738,,52061,,,,,,,,,,0,,,,0.02%,Trigger stock movement to CT WH,2,0,0,
,B00BYRIQSQ,Havells Jio Heritage 1000-Watt Dry Iron (Purple),GHGDIAHU100,95,11,3,,11.914,,3273,,,,,,,,,,0,,,,35.06%,Trigger stock movement to CT WH,0,0,0,
,B073S5BXD8,Havells Trendy 400mm Pedestal Fan (Green White),FHSTRNSGRW16,92,23,13,,5.365,,2301,,,,,,,,,,87,,,,0.00%,Trigger stock movement to CT WH,2,40,55,
,B00PFG3RFE,Havells I-Cool 175 mm Personal Fan (White/Maroon),FHPICMXWMR07,92,35,9,,3.794,,787,,,,,,,,,,0,,,,0.23%,Trigger stock movement to CT WH,7,34,53,
,B00B4BC93K,Havells Ventilair DB 300mm Exhaust Fan (Pista Green),FHVVEMTDBB12,90,3,34,,36.094,,1323,,,,,,,,,,92,,,,0.00%,Trigger stock movement to CT WH,11,0,0,
,B06XJMWF88,Havells Hi-Flow MX1 Series 1.0 HP Centrifugal Water Pump (Grey),MHPAMA1X00,89,5,17,,21.277,,862,,,,,,,,,,23,,,,0.00%,Trigger stock movement to CT WH,2,0,0,
,B07MHJ2NW2,Havells GHCOTCOK123 1200-Watt OTG (Black),GHCOTCOK123,88,13,1,,6.465,,120,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,8,67,0,
,B00B4BC40S,Havells Crescent 250mm Table Fan (Yellow),FHPCRSTYEL10,88,6,10,,17.206,,1198,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,0,0,
,B073S5ZK4W,Havells Swing LX 400mm Table Fan (Blue),FHTSXHSCBL16,86,3,0,,52.902,,2472,,,,,,,,,,213,,,,0.00%,Trigger stock movement to CT WH,3,55,0,
,B00B4BCAB6,Havells Swing Platina 400mm High Speed Wall Fan (White),FHWSWPHWHT16,86,7,11,,14.603,,23309,,,,,,,,,,0,,,,1.28%,Trigger stock movement to CT WH,1,27,0,
,B075ZWQQD6,Havells Genie 500-Watt Mixer Grinder with Jar (Grey),GHFMGAZL050,83,19,0,,5.285,,2101,,,,,,,,,,50,,,,39.00%,Trigger stock movement to CT WH,0,1,0,
,B00B4BBRR4,Havells Fusion 1400mm Ceiling Fan (Brown and Beige),FHCFUSTBBR56,83,5,6,,20.383,,496,,,,,,,,,,27,,,,0.43%,Trigger stock movement to CT WH,4,0,0,
,B07MRWKS69,Havells Insta 750-Watt Dry Iron (Craneberry),GHGDIAXC075,82,4,4,,23.23,,4738,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B07D7NZMF4,(Renewed) Havells FHVVEDXOWH10 250mm Exhaust Fan (White),#N/A,82,49,3,,2.225,,0,,,,,,,,,,46,,,,0.00%,Trigger stock movement to CT WH,0,0,33,
,B079JP4WNQ,Havells Digi Plus 7-litres RO UV Water Purifier (Black),GHWRZNA015,82,68,1,,1.687,,672,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,61,57,
,B00B4BC3DQ,Havells Birdie 230mm Personal Fan (Black and Grey),FHPBRSTBGR09,76,4,21,,19.526,,549,,,,,,,,,,92,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B08CP3JZ47,"Havells Delite DX 100% RO+UV, pH balanced SS Tank Water Purifier",GHWRDLM015,75,30,1,,3.387,,186,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,8,75,0,
,B0866LFFVD,Crabtree Havells 16A Wi-Fi enabled Smart Socket,ACST161600,75,26,1,,4.437,,2560,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,54,0,
,B00J5DYAKO,Havells I-Cool 175mm Personal Fan (Black/Silver),FHPICMXSBK07,75,4,15,,21.826,,1800,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,0,0,
,B00B4BBRLK,Havells Fusion 1200mm Ceiling Fan (Brown and Beige),FHCFUSTBBR48,73,12,8,,6.107,,1268,,,,,,,,,,0,,,,3.96%,Trigger stock movement to CT WH,9,34,0,
,B06Y4SMS9S,Havells Troika 1200 mm Sweep Honey Champagne,FHCTKSTHCH48,71,6,20,,12.105,,2675,,,,,,,,,,0,,,,7.96%,Trigger stock movement to CT WH,7,9,0,
,B00J5DYKH2,Havells Vogue Plus 1200mm Decorative Ceiling Fan (Silver Blue),FHCVOPLSBL48,71,30,12,,2.816,,18,,,,,,,,,,0,,,,1.27%,Trigger stock movement to CT WH,0,54,39,
,B07BH47TFF,Havells DHMGIFPX063 PVC Plastic 63A FP Switch Disconnector Euro 2 (White),DHMGIFPX063,69,4,5,,18.708,,4235,,,,,,,,,,135,,,,0.00%,Trigger stock movement to CT WH,1,56,0,
,B06XGBRGZ8,"Havells Pacer 1200mm Ceiling Fan (Brown, Pack of 2)",FHCPASTBRN48,69,30,0,,3.612,,10802,,,,,,,,,,0,,,,1.09%,Trigger stock movement to CT WH,3,28,14,
,B0839R2689,Havells Enviro 100W Rh Solar Panel,LSSLOB0111,68,244,5,,0.678,,1186,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,7,63,
,B078J6CW46,Havells Instanio 3-Litre Instant Electric Water Heater (White/Mustard),GHWAIAPWH003,68,10,3,,8.318,,5692,,,,,,,,,,656,,,,0.00%,Trigger stock movement to CT WH,15,0,0,
,B074MNJ4FT,Havells Era 1000-Watt Dry Iron (Purple/White),GHGDIARU100,68,4,29,,21.804,,5261,,,,,,,,,,36,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B00J5DYCCA,Havells Ventilair DSP 230mm Exhaust Fan (Pista Green),FHVVEMTDBS09,68,0,168,,166,,24739,,,,,,,,,,1164,,,,0.00%,Trigger stock movement to CT WH,51,2,0,
,B00B4BC37W,Havells Yorker 1320mm Ceiling Fan (B.Nickel),FHCYOSTBSN52,68,13,2,,5.297,,601,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,4,0,0,
,B01N9ZWZDX,Havells Freddo 70-Litre Cooler (Grey/White),GHRACAKE220,67,29,4,,1.126,,2399,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,0,0,
,B00NLBJDI0,Havells Lifeline Cable WHFFDNGA1X75 0.75 sq mm Wire (Green),WHFFDNGA1X75,67,3,11,,25.612,,48959,,,,,,,,,,62,,,,1.13%,Trigger stock movement to CT WH,7,45,0,
,B00B4BC4CQ,Havells Sprint Hi-Speed 400mm Pedestal Fan (White),FHSSPHSWHT16,67,48,0,,2.154,,22626,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,67,24,
,B082T9GV4C,Havells Self Priming Hi-Flow M1 Monoblock Pump 0.75Kw/ 1.0HP,MHPAMS1X00,64,149,2,,0.809,,1013,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,17,62,
,B00B4BCAZC,Havells Swing Dzire 300mm Wall Fan (Light Grey),FHWSWSTLGR12,64,7,9,,11.322,,1289,,,,,,,,,,8,,,,1.75%,Trigger stock movement to CT WH,1,36,0,
,B00B4BC3V8,Havells Crescent 250mm Table Fan (Blue),FHPCRSTBLU10,64,8,2,,9.748,,501,,,,,,,,,,17,,,,0.00%,Trigger stock movement to CT WH,1,0,0,
,B075MBSRFW,Havells Adore 1100-Watt Dry Iron (Sea Green),GHGDIAG2110,63,9,1,,8.777,,541,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B06XG2J9QC,"Havells Nicola 1200mm Ceiling Fan (Bronze Copper, Pack of 2)",FHCNISTBCU48,63,37,0,,2.177,,11837,,,,,,,,,,0,,,,11.90%,Trigger stock movement to CT WH,2,0,20,
,B073GW8MMB,Havells V3 450mm Fan (Silver/Black),FHWV3TFSLB18,62,10,1,,5.76,,5439,,,,,,,,,,0,,,,1.62%,Trigger stock movement to CT WH,2,58,0,
,B00B4BC4VC,Havells Sprint LED 400mm Pedestal Fan (Wine Red),FHSSPSTWRD16,62,10,6,,5.856,,1401,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,34,14,
,B073S6JFQG,Havells Sagittal 1320mm Fan (Blush Copper),FHCS8STBLC52,61,23,3,,3.76,,34,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,8,13,24,
,B07BH5R548,Havells Utility DB SPN DD QVE RG 16W Metal Double Door Distribution Board (Grey),DHDPSHODRW16,60,31,1,,3.511,,2012,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,1,11,
,B07BH3XK84,Havells DHMGCSPF010 PVC Plastic 10A MCB SP C Curve (White),DHMGCSPF010,60,83,0,,1.104,,27488,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,60,55,
,B08BW2N77B,Havells Stealth Wood i 1250 mm Smart Ceiling Fan (Pinewood),FHCWISTPCH48,58,8,5,,7.429,,24,,,,,,,,,,98,,,,0.00%,Trigger stock movement to CT WH,6,0,0,
,B07MHJ2PWW,Havells Insta 750-Watt Dry Iron (Aqua),GHGDIAX2075,57,10,2,,7.269,,5290,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,1,0,
,B01MUR3IA8,"Havells Fresco I Personal Air Cooler - 24 Litres (White, Brown)",GHRACAOE190,57,34,4,,0.781,,3980,,,,,,,,,,1,,,,0.00%,Trigger stock movement to CT WH,18,9,0,
,B0839RSRLM,Havells Solar Home Inverter 1500Va 24V,LSSLOX0592,55,187,0,,0.697,,374,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,15,53,
,B07B12B9R1,Havells Stealth 1250mm Ceiling Fan (Metallic Black),FHCSYSTMBK48,55,2,27,,23.402,,699,,,,,,,,,,89,,,,25.77%,Trigger stock movement to CT WH,4,1,0,
,B0152VTXX6,Havells Monza EC 15-Litre Storage Water Heater with Flexi Pipe (Ivory),GHWAMFSIV015,55,3,6,,19.558,,338,,,,,,,,,,95,,,,0.11%,Trigger stock movement to CT WH,14,1,0,
,B00NLBJYCK,Havells Lifeline Cable WHFFDNKA12X5 2.5 sq mm Wire (Black),WHFFDNKA12X5,55,2,20,,29.507,,54567,,,,,,,,,,102,,,,0.16%,Trigger stock movement to CT WH,7,37,0,
,B00NLBJPY2,Havells Lifeline Cable WHFFDNBA11X5 1.5 sq mm Wire (Blue),WHFFDNBA11X5,55,12,2,,5.873,,43921,,,,,,,,,,0,,,,0.08%,Trigger stock movement to CT WH,0,36,0,
,B00NLBJNWQ,Havells Lifeline Cable WHFFDNA11X5 1.5 sq mm Wire (Red),WHFFDNRA11X5,55,5,15,,12.997,,52369,,,,,,,,,,44,,,,47.76%,Trigger stock movement to CT WH,1,1,0,
,B07BH3Y5LP,Havells DHMNCSPA010 PVC Plastic 10A SP C Mini MCB (White),DHMNCSPA010,54,2,22,,30.345,,18088,,,,,,,,,,234,,,,0.00%,Trigger stock movement to CT WH,0,48,0,
,B00B4BC4GM,Havells Sprint 450mm 220-240 Volts High Speed Pedestal Fan (White),FHSSPHSWHT18,54,12,7,,5.922,,3246,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,0,0,
,B08NDX73P7,Reo (a Havells Brand) Tejas 1200 mm Ceiling Fan - Brown,FRCTJSTBRN48,53,6,0,,13.202,,12176,,,,,,,,,,133,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B07L8N16J8,Havells Hi-Flow MP2-0.5HP 1PH Centrifugal Pump (Grey),MHPAMB0X50,53,24,3,,3.257,,2002,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,46,0,
,B07D7NZL9N,(Renewed) Havells Leganza 1200mm Ceiling Fan (Multicolor),#N/A,53,512,5,,0.409,,0,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,0,7,
,B076B7BH85,Havells Rigel 5 Way Surge and Spike Guard (Green and White),AHLXOXW061,52,4,5,,15.985,,116,,,,,,,,,,27,,,,0.00%,Trigger stock movement to CT WH,0,1,0,
,B06XV5NXHW,Havells Pathfinder 10 1-Watt Rechargeable LED Torch (Blue),LHETBPFCAN1B001,51,4,12,,20.654,,7108,,,,,,,,,,18,,,,0.00%,Trigger stock movement to CT WH,4,51,0,
,B00B4BBYAO,Havells SS-390 900mm 68-Watt Ceiling Fan (Bianco) (White),FHCSSSTBNC36,50,21,2,,3.287,,160,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,8,0,8,
,B08JZ577LF,Havells Linea Electric Hot Water Tap 3300 Watts (Silver),GHWELOTWS003,49,9,0,,7.123,,986,,,,,,,,,,5,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B07CRBR3NJ,Havells Plastic 16A 30mA PRCD Adaptor (White),AHLS301600,49,2,4,,26.384,,125,,,,,,,,,,172,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B06VW67KGC,Havells Gracia 750-Watt Mixer Grinder with 3 Jars (Purple),GHFMGBNV075,47,24,0,,2.86,,44,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,4,42,10,
,B00B4BBXZ0,Havells SS-390 1200mm 74-Watt Metallic Ceiling Fan (Sparkle Brown),FHCSSMTSBR48,47,6,2,,10.362,,1382,,,,,,,,,,2,,,,0.00%,Trigger stock movement to CT WH,1,1,0,
,B07BH43TWM,Havells DHMNCSPA020 PVC Plastic 20A SP C Mini MCB (White),DHMNCSPA020,46,1,46,,38.596,,19153,,,,,,,,,,339,,,,0.00%,Trigger stock movement to CT WH,3,0,0,
,B00K0C49SW,"Havells ORO 16 AX One way Switch with Indicator for Home, Office, Hospital & Hotels",AHOSXIW161,46,7,6,,9.128,,2862,,,,,,,,,,29,,,,8.14%,Trigger stock movement to CT WH,0,2,0,
,B00B4BC33Q,Havells Yorker 1320mm Ceiling Fan (Antique Copper),FHCYOSTACU52,46,19,0,,3.399,,661,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,2,0,
,B073Y9P6NQ,Havells Enviro SL36 0.5-Watt Solar Lantern (Green),LHEXALPFEN5G0X5,45,16,3,,3.946,,3134,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,1,4,
,B06XJMWD7K,Havells Hi-Flow M2 Series 0.5 HP Centrifugal Water Pump (Grey),MHPAMS0X50,45,160,8,,0.629,,961,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,0,44,
,B00YIT1TH2,"Havells M1 series 1HP Centrifugal Water Pump (5-inch, Grey)",MHPAMS1X00,45,48,2,,1.875,,1013,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,1,0,
,B073S63FMS,Havells Trendy 400mm Pedestal Fan (Blue White),FHSTRNSBLW16,44,47,5,,1.402,,3264,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,40,24,
,B00K0C4K8G,Havells Crabtree Athena 6M Cover Plate,ACAPNCWV06,44,14,4,,5.865,,10883,,,,,,,,,,1,,,,17.17%,Trigger stock movement to CT WH,0,33,0,
,B00OI1OMKQ,Havells Sparkle 1250-Watt Steam Iron (White/Purple),GHGSIATU125,41,4,8,,12.521,,14510,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,1,0,
,B00BYRK0FS,Havells Travel Lite 0.5 Litre 1000 Watt Electric Kettle (Grey),GHBKTAIE100,41,3,19,,16.879,,6876,,,,,,,,,,49,,,,5.03%,Trigger stock movement to CT WH,3,27,0,
,B00K0C4H5W,Havells Crabtree Athena 6A-16A Three Pin Combined Shutter Socket,ACAKCXW163,40,5,8,,13.875,,44069,,,,,,,,,,46,,,,0.52%,Trigger stock movement to CT WH,0,7,0,
,B075M9GGT2,Havells Adore 1100-Watt Dry Iron (Peach),GHGDIAGP110,39,2,2,,21.328,,1095,,,,,,,,,,47,,,,0.00%,Trigger stock movement to CT WH,1,6,0,
,B07BH4BP97,Havells DHMGCSNF032 PVC Plastic 32A MCB SPN C Curve (White),DHMGCSNF032,38,11,3,,5.1,,4184,,,,,,,,,,28,,,,0.00%,Trigger stock movement to CT WH,0,20,0,
,B082T9CC74,Havells Self Priming Hi-Flow A-1 Monoblock Pump 0.75 Kw/ 1.0 HP,MHPAAS1X00,37,40,0,,1.482,,527,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,0,4,
,B00B4BBV8E,Havells Fusion 1200mm Ceiling Fan (Silver and Blue),FHCFUSTSBL48,36,14,2,,4.678,,948,,,,,,,,,,0,,,,11.11%,Trigger stock movement to CT WH,2,0,0,
,B07D7N8K3P,(Renewed) Havells Ventilair DSP 300mm Exhaust Fan (Green),#N/A,35,#N/A,#N/A,,#N/A,,0,,,,,,,,,,#N/A,,,,#N/A,Trigger stock movement to CT WH,0,0,19,
,B06XFZCHPB,"Havells Nicola 1200mm Ceiling Fan (Gold Mist Copper, Pack of 2)",FHCNISTGMC48,35,6,2,,7.698,,10548,,,,,,,,,,0,,,,9.66%,Trigger stock movement to CT WH,1,1,0,
,B00K0C48EM,"Havells ORO 10 AX 1Way Switch for Home, Office, Hospital & Hotels",AHOSXXW101,35,3,4,,14.961,,69413,,,,,,,,,,98,,,,0.27%,Trigger stock movement to CT WH,0,0,0,
,B089LB912W,Havells SHOWER1 monoblock Pump 1.0 HP,MHPASJ1X00,34,11,0,,4.997,,6283,,,,,,,,,,3,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B08JQJ7WDL,"Lloyd Mats 1 Ton Portable AC (Copper, LP12B01TP, White)",GLP12B01TP,33,55,2,,1.045,,350,,,,,,,,,,3,,,,19.73%,Trigger stock movement to CT WH,0,24,0,
,B08BXQ8HY6,Havells Carnesia i 1200 mm Smart Ceiling Fan (White LT Copper),FHCCNPMPLC48,33,8,0,,5.813,,4329,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,0,0,
,B07S3XHBHD,Havells Digiplus Alkaline - RO & UV,GHWRZNG015,33,30,1,,1.536,,212,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,32,0,
,B00NLBJSCG,Havells Lifeline Cable WHFFDNGA11X5 1.5 sq mm Wire (Green),WHFFDNGA11X5,31,3,16,,10.47,,16289,,,,,,,,,,28,,,,0.30%,Trigger stock movement to CT WH,3,0,0,
,B00K0C4HB6,Havells Crabtree Athena 6/13A Universal Socket,ACAKUXW133,31,3,16,,16.417,,184,,,,,,,,,,85,,,,7.42%,Trigger stock movement to CT WH,0,0,0,
,B00PFG30TC,Havells Spartz 1200mm Decorative Ceiling Fan (Pearl White Blue),FHCSZSTPWB48,30,9,4,,5.161,,465,,,,,,,,,,0,,,,0.22%,Trigger stock movement to CT WH,2,0,0,
,B00M0ESUZ6,Havells FHCFCSTBAC48 Florence 82-Watt Celling Fan (Black Copper),FHCFCSTBAC48,30,10,0,,4.855,,397,,,,,,,,,,0,,,,0.09%,Trigger stock movement to CT WH,5,0,0,
,B00B4BBGGQ,Havells Opus 1100mm Ceiling Fan (Transparent),FHCOPULBNK44,30,72,0,,0.895,,482,,,,,,,,,,0,,,,0.22%,Trigger stock movement to CT WH,1,1,0,
,B07CRJJ3LK,(Renewed) Havells Leganza 1200mm Ceiling Fan (Gold),#N/A,29,13,1,,3.846,,0,,,,,,,,,,21,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B00NLBJOWA,Havells Life Line Cable 1.5 sq mm Wire (Yellow),WHFFDNYA11X5,29,4,9,,9.167,,39757,,,,,,,,,,34,,,,10.85%,Trigger stock movement to CT WH,2,23,0,
,B00J5DY338,Havells Leganza 3B 1200mm Decorative Ceiling Fan (Bronze Gold),FHCLE3BBGL48,29,4,1,,8.945,,2220,,,,,,,,,,0,,,,1.20%,Trigger stock movement to CT WH,1,28,0,
,B00B4BBSIM,Havells Fusion 1200mm Ceiling Fan (Pearl Ivory),FHCFUSTPIV48,29,4,7,,10.924,,1239,,,,,,,,,,1,,,,1.08%,Trigger stock movement to CT WH,3,0,0,
,B00B4BBHX8,Havells Pacer 900mm 72-Watt Ceiling Fan (Brown),FHCPASTBRN36,29,62,1,,0.857,,195,,,,,,,,,,0,,,,14.17%,Trigger stock movement to CT WH,8,27,0,
,B073S5W2WB,Havells Turboforce 450mm Fan (Grey),FHEHDTPDB180,28,7,0,,5.983,,201,,,,,,,,,,3,,,,47.73%,Trigger stock movement to CT WH,1,0,0,
,B06XGDGYD3,"Havells Leganza 3B 1200mm Ceiling Fan (Bronze Gold, Pack of 2)",FHCLE3BBGL48,28,86,0,,0.737,,2220,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,21,20,
,B01N5XI4NP,"Havells Brina Window Air Cooler - 50 Litres (White, Grey)",GHRACBRE230,28,26,0,,0.297,,7211,,,,,,,,,,4,,,,0.00%,Trigger stock movement to CT WH,0,17,0,
,B01MDPE5Z6,Havells Vento Jet-15 Auto 150mm Exhaust Fan (White),FHVVJAUOWH06,28,5,3,,5.12,,595,,,,,,,,,,52,,,,0.00%,Trigger stock movement to CT WH,5,0,0,
,B00J5DY946,Havells Trendy 400mm Pedestal Fan (Grey-White),FHSTRNSGRY16,28,26,17,,0.174,,3479,,,,,,,,,,0,,,,0.05%,Trigger stock movement to CT WH,1,3,19,
,B07BH42381,Havells DHMNCSPA006 PVC Plastic 6A SP C Mini MCB (White),DHMNCSPA006,27,1,38,,31.997,,15277,,,,,,,,,,259,,,,0.00%,Trigger stock movement to CT WH,1,0,0,
,B06XGFRFGP,"Havells Orion 1200mm Ceiling Fan (Antique Brass, Pack of 2)",FHCORSTABR48,27,44,0,,1.076,,2081,,,,,,,,,,6,,,,0.51%,Trigger stock movement to CT WH,3,0,0,
,B00NLBJULA,Havells Lifeline Cable WHFFDNRA12X5 2.5 sq mm Wire (Red),WHFFDNRA12X5,27,0,18,,79,,49570,,,,,,,,,,360,,,,29.64%,Trigger stock movement to CT WH,5,0,0,
,B073S6785Z,Havells Yorker 1320mm Fan (Antique Copper),FHCYOSTACU52,26,51,0,,0.954,,661,,,,,,,,,,0,,,,0.84%,Trigger stock movement to CT WH,0,0,7,
,B06XG4Y6BT,"Havells Orion 1200mm Ceiling Fan (Brushed Nickle, Pack of 2)",FHCORSTBSN48,26,21,2,,2.343,,2246,,,,,,,,,,0,,,,22.95%,Trigger stock movement to CT WH,0,0,0,
,B077TRB2FT,Havells Rayline 6-Watt Rechargeable LED Batten (White),LHEXTEP7EN1W006,25,2,8,,9.829,,194,,,,,,,,,,55,,,,8.77%,Trigger stock movement to CT WH,0,1,0,
,B0788C2VSP,Havells BrightFill LED Filament A45 Base E14 4-Watt Bulb (White),LHLDDZOCYC8U004,24,67,0,,0.656,,15664,,,,,,,,,,0,,,,11.27%,Trigger stock movement to CT WH,0,0,4,
,B01M4M7OUH,Havells Vento Jet-10 INOX 100mm Exhaust Fan (Brush Steel),FHVVJINSTF04,24,46,0,,0.888,,94,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,23,0,
,B01L7C4IU2,Havells Ambrose 1200mm Ceiling Fan (Pearl White Wood),FHCAMSTPWW48,24,1,91,,28.497,,706,,,,,,,,,,219,,,,8.32%,Trigger stock movement to CT WH,10,0,0,
,B01CFTED1A,Havells Lumeno 5-Watt LED Downlighter (Cool Daylight),LHEEBPP7IN1W005,24,1,0,,20.614,,344114,,,,,,,,,,40,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B00LTKL1H6,Havells FHCFCSTBAB48 Florence 82-Watt Celling Fan (Black Antique Brass),FHCFCSTBAB48,24,11,2,,3.517,,346,,,,,,,,,,0,,,,7.56%,Trigger stock movement to CT WH,2,0,0,
,B00K0C4KK4,"Havells Crabtree Athena 12M Cover Plate, White",ACAPNCWV12,24,15,0,,3.78,,9459,,,,,,,,,,1,,,,42.33%,Trigger stock movement to CT WH,0,12,0,
,B00J5DY8OM,Havells Swing D'Zire 400mm Wall Fan (Off White),FHWSWSTLGR16,24,13,4,,3.461,,2840,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,1,20,9,
,B079M6WQGW,Lloyd 1.5 Ton 1 Star Split AC (Copper LS19A3FF-O White),#N/A,23,0,0,,0,,0,,,,,,,,,,0,,,,—,Trigger stock movement to CT WH,0,18,0,
,B00K0C4FQI,Havells Crabtree Athena 10A Two-Way Switch,ACASXXW102,23,1,19,,23.12,,37349,,,,,,,,,,163,,,,5.61%,Trigger stock movement to CT WH,0,0,0,
,B08BXP51CJ,Havells Carnesia i 1200 mm Smart Ceiling Fan (White Gold),FHCCNPMPWG48,22,5,0,,6.412,,2973,,,,,,,,,,11,,,,0.00%,Trigger stock movement to CT WH,2,0,0,
,B0883D8QWG,Havells Delite Alkaline High Recovery RO+UV Water Purifier (Silver-Golden),GHWRDLC015,21,13,3,,2.033,,818,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,21,0,
,B082T8TZH4,Havells Self Priming Hi-Flow AL-2 Monoblock Pump 0.37Kw/ 0.5HP,MHPAAE0X50,21,91,0,,0.571,,551,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,21,19,
,B07NJFWKM6,Havells LHEBHDP7IZ1W006 Octane Round 6-Watt LED Panel Light (White),LHEBHDP7IZ1W006,21,79,1,,0.6,,14182,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,0,0,
,B07HG5XN33,Havells Mozel 1200mm Ceiling Fan (White),FHCMZSTWHT48E,21,2,-1,,12.77,,1,,,,,,,,,,76,,,,0.00%,Trigger stock movement to CT WH,1,0,0,
