,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,ASIN,Product Title,Material Code,Sellable On Hand Units,Weeks On Hand,Sell-out last week,12 weeks sell-out,Forecast next week,26 weeks forecast,"PAN Havells WH stock in Hands 
(Total)","PAN Havells WH stock in Hands 
(Trade)","PAN Havells WH stock in Hands 
(Non trade)",Plant / CWH,"Delhi - Havells WH stock in Hands 
(Total)","Mumbai - Havells WH stock in Hands 
(Total)","Bangalore - Havells WH stock in Hands 
(Total)","Hyd- Havells WH stock in Hands 
(Total)","Chennai - Havells WH stock in Hands 
(Total)","Calcutta - Havells WH stock in Hands 
(Total)",Open Purchase Order Quantity,Pending PO Qty,Production Plan,Production MTD,Rep OOS,Replenishment Action,Unsellable On Hand Units,Aged 90+ Days Sellable Units,Unhealthy Units,Replenishment Category
Source,AMZ - Inv report,AMZ - Inv report,Havells SAP,AMZ - Inv report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,OUTPUT,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report
,B072MFH5ZB,Havells Glanz 1.5-Watt Rechargeable Solar Light (Red),LHEXTEPWFN1K1X5,488,7,28,,79.295,,13051,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,479,0,
,B0152VU0NS,Havells Monza EC 25-Litre Storage Water Heater with Flexi Pipe (White),GHWAMFSWH025,467,32,24,,15.66,,270,,,,,,,,,,90,,,,0.40%,Trigger stock movement to CT WH,11,0,379,
,B00J5DYEIW,Havells Quatro 25-Litre Storage Water Heater (Ivory Red),GHWEQTTIB025,467,66,12,,8.834,,41,,,,,,,,,,1,,,,4.25%,Trigger stock movement to CT WH,7,130,436,
,B01K7OIAVY,"Havells Sprint Mixer Grinder, 500W, 3 Jars (Grey/ Green)",GHFMGAGE050,427,51,2,,8.537,,273,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,4,84,
,B00B4BB9R2,Havells Festiva 1200mm Ceiling Fan (Ocean Blue),FHCFESTOBL48,402,21,46,,17.637,,10658,,,,,,,,,,0,,,,32.43%,Trigger stock movement to CT WH,2,1,0,
,B073S5TMH6,Havells Sameera 400mm Fan (White),FHWSUSTWHT16,383,11,0,,70.558,,7450,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,0,0,
,B00J5DYCUM,Havells Ventilair DSP 300mm Sweep Area Exhaust Fan 220-240 Volts (Pista Green),FHVVEMTDBS12,372,12,14,,39.824,,15355,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,6,1,0,
,B0152VTSLI,Havells Monza EC 10 10-Litre Storage Water Heater with Flexi Pipe (Ivory),GHWAMFSIV010,367,27,31,,15.054,,312,,,,,,,,,,0,,,,0.05%,Trigger stock movement to CT WH,10,2,280,
,B00B4BBEKE,Havells Nicola 1200mm 72-Watt Ceiling Fan (Bronze Copper),FHCNISTBCU48E,356,14,86,,25.146,,309,,,,,,,,,,149,,,,0.00%,Trigger stock movement to CT WH,3,0,0,
,B073S5TMM1,Havells Nicola 600mm Fan (Bronze Copper),FHCNISTBCU24,355,18,22,,24.541,,624,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,44,0,0,
,B00B4BC84U,Havells Ventilair 150mm Exhaust Fan with Round Head (White),FHVVEDRWHT06,327,18,17,,22.859,,4012,,,,,,,,,,0,,,,0.35%,Trigger stock movement to CT WH,8,0,0,
,B078JDNZJ8,Havells Instanio 3-Litre Instant Geyser (White/Blue),GHWAIAPWB003,306,3,314,,107.202,,6599,,,,,,,,,,1581,,,,0.00%,Trigger stock movement to CT WH,16,0,0,
,B01LYU3BZF,Havells Ambrose 1200mm Ceiling Fan (Gold Mist Wood),FHCAMSTGMW48,304,2,179,,167.562,,480,,,,,,,,,,2131,,,,0.22%,Trigger stock movement to CT WH,21,0,0,
,B00J5ENA7C,Havells Swing FHWSWSTIVR12300mm Wall Fan (Off White),FHWSWSTIVR12,286,8,36,,37.281,,5966,,,,,,,,,,0,,,,0.87%,Trigger stock movement to CT WH,3,2,0,
,B00B4BBA4Y,Havells Festiva 1200mm Ceiling Fan (Pearl White and Silver),FHCFESTPWS48,262,4,56,,68.194,,1584,,,,,,,,,,164,,,,18.57%,Trigger stock movement to CT WH,34,1,0,
,B07BH47TFJ,Havells DHMGBSPF016 PVC Plastic 16A MCB SP B Curve (White),DHMGBSPF016,260,8,35,,36.734,,291352,,,,,,,,,,78,,,,0.00%,Trigger stock movement to CT WH,1,244,0,
,B00B4BBXJG,Havells 1200 mm Fan SS-390 68-Watt Mettalic Ceiling Fan(Pearl white silver),FHCSSMTPWS48,257,16,27,,19.761,,5434,,,,,,,,,,0,,,,1.52%,Trigger stock movement to CT WH,0,2,0,
,B07TL45M93,Havells Active Plus UV Water Purifier,GHWUOPD060,256,125,0,,2.521,,1920,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,0,248,190,
,B00KIDSUK6,Havells FHVVEDXOWH10 Ventil Air Dx 35-Watt 250mm Fan (Off White),FHVVEDXOWH10,253,3,112,,83.07,,4035,,,,,,,,,,490,,,,0.00%,Trigger stock movement to CT WH,18,0,0,
,B0152VTV92,Havells Monza EC 15-Litre Storage Water Heater with Flexi Pipe (White),GHWAMFSWH015,251,18,30,,15.247,,1032,,,,,,,,,,0,,,,0.10%,Trigger stock movement to CT WH,16,0,0,
,B00B4BBI9G,Havells Pacer 1200mm Ceiling Fan (Brown),FHCPASTBRN48E,250,6,74,,42.289,,694,,,,,,,,,,0,,,,0.75%,Trigger stock movement to CT WH,6,1,0,
,B00B4BBGN4,Havells Orion 1200mm Ceiling Fan (Antique Brass),FHCORSTABR48,237,19,18,,12.008,,2081,,,,,,,,,,0,,,,4.77%,Trigger stock movement to CT WH,6,1,0,
,B00BYRIPDC,Havells Jio 1000-Watt Dry Iron (Blue),GHGDIAEB100,233,29,5,,10.541,,3122,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,7,140,0,
,B06XB6GT3J,Havells Citrus Press 0.5L Juicer,GHFCJBHW003,221,10,30,,20.283,,303,,,,,,,,,,460,,,,0.30%,Trigger stock movement to CT WH,8,3,0,
,B00B4BBDU0,Havells Leganza 1200mm Ceiling Fan (Off-white and Silver),FHCLE3BPWS48,221,45,25,,4.151,,91,,,,,,,,,,2,,,,13.71%,Trigger stock movement to CT WH,21,0,114,
,B08JZ25QLD,Havells Capture 1.2 Litre Multi Cook Kettle with Steamer 650 Watt (Green),GHBKTAWB065,220,104,0,,2.866,,2247,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,0,196,
,B08B55S3WM,"Havells Digitouch Alkaline 100% RO+UV, 6 Litre Water Purifier (Champagne & Black)",GHWRZDI015,216,267,2,,1.135,,290,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,2,215,211,
